epoch,classification_loss,detection_loss
1,7.963988653065906,2.364387833190575
2,9.940786141367452,4.630566595486825
3,6.319390058978391,1.9189886018641045
4,5.69010522539573,1.7223747005175714
5,5.21731583573151,1.6016622020634779
6,4.855634455982759,1.5283341072445735
7,4.568618694326623,1.4590086760931167
8,4.34640000752633,1.413394115033387
9,4.169609299369801,1.360702093137872
10,4.028075905224158,1.3198179019540333
11,3.9137018318047208,1.2834842080019015
12,3.83580891679254,1.259918147466677
13,3.7476784040410487,1.2303432125207479
14,3.660983163530323,1.1938557628994118
15,3.6097705285868362,1.1766956423203574
16,3.552088159590657,1.1593509492031786
17,3.49606472757947,1.1430409257396976
18,3.444159570784313,1.1253554593139712
19,3.3964921467658,1.106205357466417
20,3.3612293764956047,1.090583091559417
21,3.3223340042896927,1.0813887704536498
22,3.276459194428106,1.0635000148319058
23,3.241260748545636,1.046446849134246
24,3.2155596110600673,1.0432051454277762
25,3.195434267939203,1.0338976104631696
26,3.169047020148862,1.0200528690151225
27,3.1182697939377237,1.0031116133715117
28,3.0929659002353858,0.9946924035836672
29,3.0818407806928403,0.9877888545602805
30,3.048414661205581,0.9763900489335247
31,3.0257892756141747,0.9708031764665395
32,2.995945923797401,0.954926870903743
33,2.97663632805881,0.9482504020225835
34,2.9432169983731544,0.9410739672492241
35,2.9266291735194168,0.9295988090952103
36,2.908259256788358,0.9261341523208038
37,2.9231005043958107,0.9256287820676837
38,2.874384322738002,0.9096943563873956
39,2.8779098093365634,0.9151337315792505
40,2.84571297405537,0.9020295906406834
41,2.6167391033032024,0.8259430295923241
42,2.567509862090609,0.8080840581004431
43,2.270239015170605,0.7090035239356103
44,2.229482585332888,0.6938685700045282
45,2.021097754585161,0.6241515265996471
46,3.955285447700523,1.538229981825339
47,3.2219328636878815,1.2401949814505022
48,3.7383358002630853,1.4347627614217429
49,3.8089108460764196,1.4354853137441739
50,3.7831409432681764,1.4340150671456966
51,3.53821600365028,1.322148998040632
52,3.5400409669101727,1.3352607388306839
53,3.427682634019921,1.2805360466990856
54,3.4967706543976353,1.3201661873635835
55,3.3783171368774556,1.2588965125983322
56,3.469268979168906,1.3059696125531899
57,3.454891789990845,1.3026402050916441
58,3.377015792499596,1.2562714471671246
59,3.3667293072553464,1.2565645404401293
60,3.381008671469709,1.2679597319771323
61,3.2392497037907853,1.205253649349948
62,3.2400615324773554,1.2039846434087325
63,3.222849048612889,1.2029369651565465
64,3.247217700238272,1.2209774753994387
65,3.2085544584222667,1.19272610666874
66,3.2125446855186435,1.1948725583725877
67,3.1892710282872874,1.1801909327744688
68,3.2005366295820967,1.1944500916228311
69,3.1784366386532494,1.176169490356155
70,3.154043673662358,1.1709233638729204
71,3.1400358956928356,1.1714552526905548
72,3.154869765518598,1.1774407523000454
73,3.107155960386303,1.1448063062924356
74,3.0778453408548256,1.131499670571956
75,3.1196648324959058,1.1675431721304972
76,3.0801659756780766,1.1430021098064536
77,3.096805807413716,1.1524967832257633
78,3.1113388369543187,1.1628628486003088
79,3.082292289420451,1.144526377615576
80,3.076012582263836,1.1448808184002492
81,3.0459063174414602,1.1226648810428084
82,3.06191284948066,1.1332810490588856
83,3.007665903341257,1.1146599481061439
84,3.025038661675617,1.1235058459252076
85,3.0532909609546635,1.122081327374976
86,3.051418385942412,1.1261752841192032
87,3.048902446374391,1.1250914380480093
88,3.099179510911229,1.148578782929148
89,3.0956741615503294,1.1456863987828982
90,3.048064869691232,1.113994115638583
91,3.076694994804766,1.1353800891065378
92,3.0835520461770636,1.147622328800761
93,3.082700025810603,1.150577096204616
94,3.0814753845730167,1.147268987172983
95,3.0652450997222154,1.1336666828461637
96,3.0494517898893747,1.126723135451063
97,3.0541633157236903,1.1329057622483065
98,3.0862107193948223,1.148277406641514
99,3.0696624103751717,1.1454035414336903
100,3.0836881978780304,1.1405289638310367
