epoch,classification_loss,detection_loss
1,7.277753849084853,2.1639098435164996
2,5.8267986410306,1.751962104127164
3,5.285994799255806,1.6095051119844945
4,4.93665678158885,1.5277363995874256
5,4.662602801896801,1.4629304461746528
6,4.474694430626435,1.412705836116317
7,4.3247595842821465,1.3742825298737995
8,4.212702375612955,1.3382538977223586
9,4.120967499584089,1.3087887111033951
10,4.033250903898878,1.2826501951089742
11,3.958092337532744,1.2581566735821221
12,3.8906548243896464,1.231213139588848
13,3.8427935976979812,1.2165310514353507
14,3.7842616709953,1.1972553531088768
15,3.737531564787657,1.1862570600500424
16,3.6860965532401497,1.1644108465410419
17,3.66220569990867,1.1543076569011903
18,3.6354300433624878,1.1472332939080652
19,3.5957540271937876,1.1330755106517807
20,3.579950697529195,1.124888722305427
21,3.5410533188736455,1.1141075944053545
22,3.487753928312649,1.089616768757118
23,3.465917378419145,1.0867946024762656
24,3.4425380320984593,1.0757662412796463
25,3.4129358815248025,1.0652138664850352
26,3.42041863146008,1.0637348023746946
27,3.3823998944087554,1.0555431844388419
28,3.373054775827573,1.050887041416878
29,3.331506473652806,1.0384857624610764
30,3.3470165041001194,1.0423082120756184
31,3.3010373953864907,1.026771992970746
32,3.290752405818388,1.024027680683793
33,3.283649402692619,1.019481781256147
34,3.2632153240478576,1.0128947887776727
35,3.242812606319245,1.0016885685021892
36,3.2276721993986106,1.002880912816081
37,3.205470628240594,0.987994276638939
38,3.1939724745987808,0.9819962334638636
39,3.1797153744045348,0.9799933111742535
40,3.1744725246139054,0.9817494719485951
41,2.956942471402345,0.9108879366838281
42,2.9078366997853866,0.8953252645752291
43,2.8953383491487537,0.8922158295388611
44,2.8839827181925344,0.886004160407259
45,2.8767985093414987,0.8859037944894876
46,2.8437282333286444,0.8725685224102683
47,2.8645577053910816,0.8793776646839817
48,2.846255268320016,0.8746964385352197
49,2.8358062180762937,0.8706413931737723
50,2.8232316394080397,0.8658388179387949
51,2.7223249632359243,0.8321867116396988
52,2.698169122807008,0.8273779144173028
53,2.6823662999403424,0.8215820651344772
54,2.686987793462872,0.8216374850592906
55,2.6612371863691977,0.8154740716997352
56,2.663499800636896,0.8153956007228605
57,2.6537436450835643,0.8119408523852033
58,2.650102835395245,0.8114811020046688
59,2.628605528290344,0.8006174868362546
60,2.6394006583701013,0.8068150913891095
61,2.5889433242953186,0.7908184955075722
62,2.5584151275265095,0.7794355303121109
63,2.5615732053906055,0.7838472571672306
64,2.5483274633265625,0.7770499844318314
65,2.5400193027968334,0.7744815622610767
66,2.5445348781453867,0.7736848637699332
67,2.5198951982368647,0.7678988210068284
68,2.5364232236144044,0.7732848317194468
69,2.525229338057782,0.7714054123424228
70,2.5197566762357706,0.7621509148417435
71,2.5021634900725482,0.7610207446362444
72,2.489518092443771,0.7546492546451098
73,2.48254641033475,0.7568706658697174
74,2.4842949232195473,0.758463860328731
75,2.4558279699262875,0.7453818943418127
76,2.447369192261924,0.7440334901523337
77,2.4450395129739864,0.738653503952538
78,2.4437183099648063,0.7434553395922545
79,2.4339298535338227,0.7383243076362835
80,2.438564875351743,0.7418444853306623
81,2.4228212768009403,0.7351935047920976
82,2.4112691233387427,0.7336414978448292
83,2.407390718473911,0.7306494323555659
84,2.405872510215866,0.7291571738791673
85,2.390125534625489,0.7249116960673473
86,2.397445250300753,0.7302112627059668
87,2.3803111638292247,0.7211654213076631
88,2.3934342003836617,0.7246775259828728
89,2.387078651804576,0.7269656471205886
90,2.3834669651934464,0.721877586580867
91,2.3868272479690176,0.7211341698239425
92,2.3612142613453817,0.7155101163094029
93,2.342979185877358,0.7058090618435687
94,2.350654750587054,0.7113485632310345
95,2.3474638242834485,0.7100099675922708
96,2.3338072793157623,0.7067429677818696
97,2.3478048770769946,0.7095924085568782
98,2.337846724925956,0.7082252699923204
99,2.346499690374584,0.7082298592186712
100,2.328641414699951,0.7059844754683101
2,3.5000097788510054,1.2817669012790953
3,3.2029600344612703,1.169492653724188
4,3.078277573882957,1.1155558310348246
5,2.9829884115570517,1.0747907803442538
6,2.9192880586049084,1.0492453376548203
7,2.905535672083353,1.044944020748369
8,2.8191538908783658,1.0098002903177845
9,2.7719093464905797,0.989771121114896
10,2.7385804233802356,0.9728780533952686
11,2.692587623916696,0.9480306918388755
12,2.633659792822611,0.9349048547662896
13,2.617218250289876,0.9282897897280854
14,2.5991047398552904,0.9189433638633335
15,2.5796357188914225,0.9067122314622486
16,2.535117498161253,0.8905600472866797
17,2.518333188339174,0.8813065459710371
18,2.4723336607563655,0.8624952230206195
19,2.4427981212072263,0.8588207626942278
20,2.4275799384430714,0.8461538168747605
2,2.5827094277572353,0.9487163972837321
3,2.5805625380584303,0.947741257178109
4,2.566203365761722,0.9436275941361196
5,2.55479911589415,0.9328798300782993
6,2.5187529409934752,0.9184166731482203
