crop_px,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
0,nan,0.051962390032902324,0.028219390198897985,0.008436690751293607,0.00969870588863017,0.004501617173743682,0.038056817801928385,0.02212563423193407,0.08722689680071594,0.00134699105459266,0.02281308384366331,0.03389699163066463,0.037458747294793496,0.014291469793250739,0.03127104916319356,0.01576763688675984,0.005868599705419091,0.0019843542024126173,0.015056892466737675,0.04854917274757735,0.0011831159070793398,0.023985812378809524
100,nan,0.4746267576260097,0.45447482431228464,0.4063049506040034,0.3377702528893556,0.11883546548906691,0.45177392563985397,0.4448461641290718,0.6700471180490857,0.13418546789028402,0.3718698971667839,0.31055419213947455,0.6240612958901288,0.5709142396837612,0.4948185152025105,0.3721460341154831,0.14723590111899112,0.31991719960010084,0.4254963560499873,0.45744792712258914,0.34729574371815003,0.3967311114218488
10,nan,0.05799762397160243,0.061362282418171016,0.02700776897452627,0.028992035685693602,0.006793768313383042,0.06578606185573227,0.05793347870120138,0.15140410046033287,0.0031850236371730144,0.027908790934251353,0.03856943151311239,0.10030707930710434,0.03580062614133146,0.0664823735968392,0.02950122849246601,0.008743187899463555,0.004048892999905631,0.03969015691992038,0.09894756739895771,0.007553401874700494,0.04590074405479343
110,nan,0.5044189817486813,0.5133222342494865,0.44062573055459897,0.3413881645767054,0.1407803360439567,0.5026269260798111,0.4794069774522397,0.696142027482076,0.15873358973812518,0.408604196651512,0.337984326705319,0.6524335149966761,0.6138399407107287,0.5472189963020625,0.4049818501455299,0.17538255043736206,0.36765041162939494,0.43919705710044626,0.48368971645255926,0.4189491663328039,0.4313688347695037
120,nan,0.5309340442806214,0.5412189796396893,0.4782540998486057,0.37263273010809606,0.16854090984954656,0.5140257512978054,0.49853282746545113,0.7210566267818526,0.20200396368051982,0.42371805790952277,0.38817807441222185,0.6428744232530494,0.6323543700964642,0.5598201239200288,0.4449451927120932,0.20436674327616264,0.4132606273915669,0.4328140200059562,0.5119754314552287,0.44899879509258606,0.4565252896238535
130,nan,0.5309137357022051,0.5907703637588994,0.49411227957829074,0.39941186145458385,0.19467080007006946,0.5626206795921864,0.5281599619949018,0.7282697744500715,0.24768528783018495,0.4598640304077831,0.4279412297863892,0.6559989598004958,0.6486715557877396,0.5987678424905203,0.47634664993679815,0.22065312563562167,0.4070450817518726,0.495257988874821,0.5700994792700717,0.4957706305561422,0.48665156593648246
140,nan,0.561002466984611,0.6347957466163354,0.5035422014253228,0.4372952480697555,0.2194679477105219,0.5821909191651452,0.5693278179487362,0.7174450997212378,0.2726950948838228,0.5166458049923609,0.49862722768501405,0.6634373272048626,0.6664086361220358,0.6284213620212749,0.5076296505437992,0.22517219817489925,0.48233523789161964,0.5025633928942497,0.5659550928643428,0.536492842114161,0.5145725657517054
150,nan,0.5755186257446412,0.6472556820801587,0.5290199682312245,0.42032739976917743,0.27200021622059345,0.5879755472395478,0.5826967091688727,0.7242206388324529,0.3043047284782477,0.5225004032076647,0.5342458237172985,0.6773714441768766,0.6797044363802831,0.6567035306668014,0.5254023391072766,0.259925626439804,0.4935742352553403,0.49586758646834617,0.5760396580719639,0.5713684381187878,0.531801151868768
160,nan,0.5693742872095306,0.6860905303357345,0.5301446057233578,0.4769310461352011,0.27129989210829547,0.6370455798905217,0.6049201857623712,0.7408889832351401,0.34818158054537485,0.5399983874804544,0.51583874512351,0.6920030492337115,0.6774633346303571,0.6568734851417806,0.5527656869571467,0.2706973379820359,0.5162231714861815,0.5195814186120483,0.6079599323955169,0.5842333932821757,0.5499257316635222
170,nan,0.5875895028832263,0.695118075636663,0.5442548133092762,0.4759222952411767,0.29595850677214286,0.6317201536643009,0.6202982312572942,0.7341364057545943,0.34616486101273297,0.5825253202232676,0.5308986940092467,0.6929965196286744,0.6919935919239117,0.6638791390620307,0.5705168724431899,0.27849895376172895,0.5620375813113176,0.5675571109463212,0.6064191529026234,0.5974212862088633,0.563795353397629
