epoch,classification_loss,detection_loss
2,3.2105763624323176,1.0223814098585966
3,3.0182524109025066,0.9631664918472619
4,2.918622764847034,0.9246650830891192
5,2.806914205535007,0.8847218242400043
6,2.7235953186420683,0.8581291858964317
7,2.7096364242195854,0.8472545084037334
8,2.6398365336183884,0.8248305934728114
9,2.594524499007304,0.8088601653318225
10,2.5342542680135316,0.7920924286417504
11,2.468803953271309,0.7630072394980395
12,2.4247670970006885,0.7539214515910849
13,2.4046498948358703,0.742263632150983
14,2.400012442117964,0.7353248671633938
15,2.3477999380928405,0.7227339564932499
16,2.3039218868692792,0.708617667496435
17,2.2877628433174046,0.7035963549431795
18,2.26395429711162,0.6902844482380717
19,2.204728265190263,0.6771728351488854
20,2.196959480441516,0.6680445750775375
21,2.0385432904820378,0.6207253787255841
22,1.9986862170742374,0.604295389233175
23,1.7111099592952248,0.5167539378257047
24,1.6804527321567388,0.5048231116966191
25,1.9261509869211646,0.5834658958587068
26,1.9005553752933295,0.5735927764794697
27,1.8678282938277928,0.5628678649375701
28,1.8808028753594688,0.56803535630051
29,1.8667647574291468,0.5630092127698995
30,1.8603684922943262,0.5639567282879491
31,1.8464434926525997,0.5551522300043639
32,1.8183705996671544,0.5464364679483427
33,1.817438317091714,0.54595478151779
34,1.801325171321227,0.5396008868548637
35,1.8052505855691732,0.5393257009899478
36,1.811449344459078,0.5422896413345113
37,1.7839178055294247,0.5340889556661277
38,1.7832556160264135,0.5376692493040857
39,1.7684853785820809,0.5259274880273891
40,1.7759533428246554,0.5304534922946583
41,1.751787233485244,0.5238267497791831
42,1.6896963528207931,0.5039187453370145
43,1.6676442054185001,0.49714019315450575
44,1.6306463318302276,0.48567270848907285
45,1.625954848582671,0.4847579061646353
46,1.6029059306161777,0.4777700314460398
47,1.6158173387614394,0.4832727764543989
48,1.6103455116341838,0.4766048739017555
49,1.5849848558956927,0.4701006416649318
50,1.593555686609888,0.4739254302213714
