crop_px,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor,mAP
100,nan,0.4933011533044257,0.4121786520822557,0.4837503962103874,0.4000834807165078,0.11894686142250405,0.5163609105227727,0.4642632611724391,0.7203941253668584,0.16042937428932602,0.4076242025820612,0.29536526603338215,0.6419163896415198,0.5551959265160384,0.49633102803591606,0.3673912362703233,0.16648821430014596,0.31763597037571145,0.434928793818094,0.5683417180384481,0.4078206925446326,0.4214373826621875
110,nan,0.5260377791293583,0.47826757554165467,0.49957901144702166,0.4247205337576787,0.12140992593070402,0.5622984072756658,0.5030945745094215,0.7471050511413229,0.19455101653573548,0.41366577904838325,0.3639130776869603,0.6671909079671067,0.583879168706692,0.5146659280033121,0.4064589653359949,0.20360371987624973,0.38339348562784065,0.44624996053347743,0.5776556684216829,0.4890573955148143,0.4553398965995538
120,nan,0.5628065099144709,0.5248702820807907,0.5439050894464597,0.4320430616004567,0.1421037584025196,0.5651874475815,0.5302806082043761,0.7580955163676382,0.25628969675124175,0.47273984863907553,0.38899438470189396,0.6784251230509641,0.6155188225923967,0.5810198028035406,0.4428551907565545,0.22297864674672307,0.4015364507020283,0.5131238372591583,0.5853001830733362,0.5246504764840362,0.487136236857958
130,nan,0.568538431106855,0.6025358551117426,0.5605421589699073,0.43750161605923,0.16935753096919082,0.5705045689728886,0.5635921797876976,0.7688578128468193,0.3025258194580771,0.49951422928591394,0.4806119275750376,0.7076394134222926,0.6348748194521909,0.5931274447387295,0.4823870248064184,0.23905847539447175,0.4599895546767201,0.5398799235065699,0.6149669423761822,0.5634482351581168,0.5179726981837526
140,nan,0.605689982894605,0.6587948806277808,0.6120052785826161,0.512331489109581,0.2185815177862329,0.6572654563774529,0.6184840776271462,0.7829372179007585,0.3723343768421069,0.5611250709887009,0.5503220872803396,0.722716020480898,0.6923040405504629,0.6751375019860251,0.5308118324612301,0.30902925243625895,0.5231038271752273,0.5264075078158126,0.6349662079834757,0.6222634636543024,0.5693305545280507
150,nan,0.605689982894605,0.6587948806277808,0.6120052785826161,0.512331489109581,0.2185815177862329,0.6572654563774529,0.6184840776271462,0.7829372179007585,0.3723343768421069,0.5611250709887009,0.5503220872803396,0.722716020480898,0.6923040405504629,0.6751375019860251,0.5308118324612301,0.30902925243625895,0.5231038271752273,0.5264075078158126,0.6349662079834757,0.6222634636543024,0.5693305545280507
160,nan,0.6209734763594811,0.7101226801896587,0.5995344282669763,0.5423214990288927,0.23238385232622086,0.6719233278606338,0.6424437687475947,0.7987908887008606,0.39277631953262626,0.5677548428794854,0.5590051272158847,0.7516707928759548,0.714959661409146,0.6847487928660705,0.5581306080475552,0.3057319874703488,0.540785346137408,0.5429500425518115,0.6359478929085878,0.6517391448407285,0.5862347240107965
170,nan,0.6379313387347101,0.7085405616355318,0.627401966070154,0.5473916831867831,0.25275449045005455,0.6782495033582535,0.6646919529205613,0.80492777875873,0.398658349543616,0.6235166349007317,0.5696998895292145,0.7522511961650464,0.7277871516087635,0.7017768855876629,0.5744315584685762,0.3168676575485873,0.5696774062203311,0.555216664312143,0.6731002584305861,0.6583829576868724,0.6021627942558453
180,nan,0.6392829267711064,0.7302058538895216,0.6353658991252402,0.5359397083872592,0.29532737513844165,0.7198391129679378,0.6795383530364083,0.7988163352340146,0.425782164460702,0.6329621046954819,0.5813757486745661,0.7551964911488913,0.726006602634586,0.729340472548899,0.601897997359922,0.33348144411333014,0.5785479589745215,0.5927334144191935,0.6813503225777111,0.6743134510181912,0.6173651868587962
190,nan,0.649317433680723,0.7354513760323038,0.6439044608438159,0.555016703416593,0.2927141486862496,0.7063088008950684,0.6835883370893672,0.8063527054602712,0.44317622760872183,0.6307984080997707,0.6010013139782102,0.7563837752328462,0.7456085613902683,0.7301795444612926,0.6020212483047316,0.3477878928128014,0.5686831531876259,0.6003753729805277,0.6772889821862321,0.7014315715874688,0.6238695008967445
200,nan,0.6468212961377,0.7625466232233676,0.6514968109448652,0.5557151879499158,0.3092377424683658,0.7591478240142344,0.6914528763997495,0.8049743125156983,0.44571243187314563,0.639996465990634,0.6052530514649173,0.7593685780752735,0.7560383196235332,0.7196918603209019,0.6146606533291198,0.35357197268071267,0.5783006670498669,0.6263419717962115,0.6848610554932468,0.7054085183611493,0.6335299109856305
no_crop,nan,0.6607678180228989,0.7687922370649152,0.6573097302736618,0.5724268532948023,0.3604495000446508,0.7958582691857575,0.722410431731197,0.8085195317436816,0.4829792010805688,0.6976445439951151,0.6170711913314408,0.775169504013587,0.75791166000613,0.7406059091426787,0.6563641757536898,0.3715156868597218,0.5999971857074164,0.6419986708554843,0.6932602447725438,0.7110538829260241,0.6546053113902983
