epoch,classification_loss,detection_loss
1,7.349177995933434,2.165932432357213
2,5.719040221093991,1.725197031453014
3,5.14266974871835,1.5803442359719662
4,4.799170556421036,1.4892787710084265
5,4.5626937226433295,1.4316762411231405
6,4.3742605610824885,1.3744994121769767
7,4.2418028795529015,1.334513302901449
8,4.160753244014683,1.3099005267549795
9,4.074279097210906,1.2808715654577594
10,3.9958590463257573,1.2561310565431318
11,3.926760905373206,1.2312604592237109
12,3.8827339308223845,1.2137652895282351
13,3.8322439788331613,1.1963334072898009
14,3.7773421482512086,1.1819181271426744
15,3.717108985489264,1.159009816523852
16,3.6622466911377685,1.140272619414295
17,3.648745433093846,1.1294117204920573
18,3.6477910060131244,1.1330490068083745
19,3.6026097657658616,1.1180087153234017
20,3.5780350965483283,1.1034434547655936
21,3.537129548680327,1.0927817765326244
22,3.500797788148459,1.0737318260880586
23,3.475312342788932,1.0690790650895277
24,3.4702374061102335,1.0670776202403272
25,3.4449287914549918,1.058512912511307
26,3.429276241030078,1.0519353461732261
27,3.3998341325286967,1.0430166413525903
28,3.3901147740425377,1.0403007936757103
29,3.3662557473443107,1.0311967573660246
30,3.3677635986831467,1.0244295737805604
31,3.3258672221493986,1.0132675023039164
32,3.3118609214762436,1.0120355725979793
33,3.2682922131891927,0.9981801459730507
34,3.2420723869237076,0.9846827325727584
35,3.2244675866413255,0.9796322945121868
36,3.198506694476117,0.9664943534115653
37,3.172870467457004,0.962697054313945
38,3.1612690826036207,0.9599587757945234
39,3.145183507689766,0.9567221403770138
40,3.1350041466556693,0.9509443781078006
41,2.932343238214757,0.8866224208132779
42,2.8925066456349935,0.8720347627514857
43,2.8607701964860035,0.8624174680332161
44,2.847195538188479,0.8605740121694047
45,2.8138130372016543,0.8455141754312294
46,2.790685242820673,0.8375589714613786
47,2.806254847260591,0.8414734356742715
48,2.8074463446858196,0.8458236006937954
49,2.7883134840651373,0.8381173632149538
50,2.776408180630455,0.8307548864646025
51,2.6612676375150794,0.7957267228778634
52,2.6234648805588785,0.7796487476858556
53,2.6184870721407707,0.7810300270490683
54,2.6136841892677554,0.779587303766771
55,2.6036965878704654,0.7784968643674763
56,2.597166495256346,0.7748841911323869
57,2.5854804635681696,0.7693513792643748
58,2.5762877543229536,0.7679482546908202
59,2.5625731451837495,0.7638245917147286
60,2.566773926652878,0.7613856623200416
61,2.6193366168258616,0.7834538104108937
62,2.614483962864505,0.7836298986210691
63,2.619295187823838,0.7821119446190387
64,2.606874887236885,0.778272485865551
65,2.606947193432684,0.7804499074723077
66,2.593055157053004,0.7744626869191404
67,2.5787413858629873,0.7722901447548735
68,2.5671735848419446,0.7664294386180833
69,2.5860835834365354,0.7710089448599956
70,2.5756332944878753,0.7725686371981838
71,2.536644360822085,0.7557617350224425
72,2.5421497664513826,0.7585883581044882
73,2.547872498941168,0.7583326934875066
74,2.5265398717779304,0.7523467202241897
75,2.5236608205410866,0.7503239317842588
76,2.523270998443596,0.7506907839974439
77,2.53370034467085,0.7542600150252956
78,2.5191900740504094,0.7505622190689337
79,2.517257444837809,0.7488183607336056
80,2.5099283480137196,0.7476431032694038
81,2.5013741650346284,0.7418459249528034
82,2.5174342605329008,0.7521316013247163
83,2.4896559699714444,0.7387927282167668
84,2.5061498095356596,0.7455998066652507
85,2.482529868475765,0.7391918756107364
86,2.49471239216262,0.7419619906915161
87,2.4892504711609753,0.738040838842521
88,2.500053319653317,0.7458870816974031
89,2.488888798559732,0.7386538044352817
90,2.4937048385314977,0.7423067555198812
91,2.4995554697980276,0.7461870524756802
92,2.4789981776069707,0.7358501652348381
93,2.4820829042494155,0.7385355841499875
94,2.479659966912,0.7360131881515319
95,2.4718847977706,0.7354546008391216
96,2.4727062353942637,0.7365338324909916
97,2.4708809600814408,0.7344347728716112
98,2.471900526598031,0.7341105974760535
99,2.4723577230318896,0.7384209335354459
100,2.46132567313168,0.7304121622029798
